Category,Item,Cost
Proposed Edge-based System,4x RGB Cameras,252
Proposed Edge-based System,NVIDIA Jetson Orin Nano,250
Proposed Edge-based System,Accessories and Other expenses,170
Kami Fall Detect Camera,Hardware,99
Kami Fall Detect Camera,Monthly Subscription,45
